section,n
DEPARTMENT OF LABOR,52
HAVA,47
DEPARTMENT OF EDUCATION,40
USAID,35
CBP,30
OFFICE FOR CIVIL RIGHTS,30
DEFENDING THE RULE OF LAW,27
THE “EQUITY” AGENDA,25
HHS,24
HUD,23
CISOMB,21
OESE,21
HEA,18
DEPARTMENT OF HOMELAND SECURITY,17
OCR,16
USCIS,15
DEPARTMENT OF JUSTICE,13
DEPARTMENT OF STATE,13
PEPFAR,13
DOD,12
CENSUS BUREAU,11
ESG,11
SECURITIES AND EXCHANGE COMMISSION,11
EPA,9
CONSUMER FINANCIAL PROTECTION BUREAU,8
NUCLEAR REGULATORY COMMISSION,8
OPM,8
FERC,6
OGC,6
DOL,5
DOT,5
NATIONAL INSTITUTES OF HEALTH,5
PENSION REFORMS,5
PRO,5
THE COMMON DEFENSE,5
FCC,4
MARAD,4
OFFICE OF HEAD START,4
SBA,4
WHITE HOUSE POLICY COUNCILS,4
ADMINISTRATION FOR COMMUNITY LIVING,3
DEPARTMENT OF AGRICULTURE,3
DEPARTMENT OF HEALTH AND HUMAN SERVICES,3
NPR,3
OFFICE FOR CIVIL RIGHTS AND CIVIL LIBERTIES,3
OFFICE OF THE IMMIGRATION DETENTION OMBUDSMAN,3
OIDO,3
TAXPAYER RIGHTS AND PRIVACY,3
USSS,3
CBO,2
CENTRAL AGENCIES,2
DEPARTMENT OF VETERANS AFFAIRS,2
FEDERAL HIGHWAY ADMINISTRATION,2
FOOD AND DRUG ADMINISTRATION,2
FTC,2
HHS/CMS,2
HUMAN RES AND ADMINISTRATION,2
INDEPENDENT REGULATORY AGENCIES,2
INTERNATIONAL LABOR POLICY,2
INTERNATIONAL ORGANIZATIONS,2
INTRODUCTION,2
NCSC,2
OFFICE OF RESEARCH AND DEVELOPMENT,2
OFFICE OF SCIENCE AND TECHNOLOGY POLICY,2
OFFICE OF THE VICE PRESIDENT,2
ORR,2
THE CASE FOR FREE TRADE,2
TRANSPORTATION SECURITY ADMINISTRATION,2
TREASURY DEPARTMENT,2
VOA,2
BLM,1
CENTERS FOR MEDICARE AND MEDICAID SERVICES,1
CFIUS,1
CHALLENGE #2,1
CMS,1
COM,1
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,1
DOI,1
EOP,1
FEDERAL ELECTION COMMISSION,1
FEDERAL RESERVE,1
HRSA,1
IMPLEMENTING THE CONSERVATIVE VISION,1
IMPROVED FINANCIAL REGULATION,1
INTELLIGENCE COMMUNITY,1
LOAN PROGRAM OFFICE,1
MBDA,1
NATIONAL SECURITY COUNCIL,1
NATO,1
NEPA,1
NNSA,1
OCFO,1
"ODNI, CIA",1
OFFICE OF GENERAL COUNSEL,1
OIG,1
OMB,1
"ORIGIN, HISTORY, AND CORE FUNCTIONS",1
SBIR,1
TAKING THE REINS OF GOVERNMENT,1
TANF,1
USCG,1
USPHS,1
VHA,1
"WORKER RETIREMENT SAVINGS, ESG, AND PENSION REFORMS",1
ADMINISTRATION FOR CHILDREN AND FAMILIES,0
ADMINISTRATION FOR STRATEGIC PREPAREDNESS AND RESPONSE,0
"ADMINISTRATION ON CHILDREN, YOUTH, AND FAMILIES",0
ADVANCED RESEARCH PROJECTS AGENCY,0
AGENCY FOR INTERNATIONAL DEVELOPMENT,0
AIO,0
AMERICAN INDIAN OFFICE,0
ARCTIC ENERGY OFFICE,0
ARPA,0
ASPR,0
AVERAGE MOST,0
AVIATION,0
BEA,0
"BILATERAL TRADE DEFICIT, 2018, IN BILLIONS OF",0
BIS,0
BUDGETARY FLUCTUATION,0
BUREAU OF ECONOMIC THE OFFICE OF THE UNDERSECRETARY FOR ECONOMIC AFFAIRS,0
BUREAU OF INDUSTRY AND SECURITY,0
"CBP, ICE",0
CCC,0
CDC,0
CENTERS FOR DISEASE CONTROL AND PREVENTION,0
CENTRAL INTELLIGENCE AGENCY,0
CESER,0
CFTC,0
CHALLENGE #1,0
CHIEF OF STAFF,0
CHINA,0
CHINA AND OTHER GEOPOLITICAL THREATS,0
CISA,0
CLEAN ENERGY CORPS,0
CLIMATE,0
COMMERCE,0
CORPORATE AVERAGE FUEL ECONOMY,0
CORPORATION FOR PUBLIC BROADCASTING,0
COUNCIL OF ECONOMIC ADVISERS,0
COUNCIL ON ENVIRONMENTAL QUALITY,0
CRCL,0
CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,0
DEPARTMENT OF,0
DEPARTMENT OF ENERGY,0
DEPARTMENT OF THE INTERIOR,0
DEPARTMENT OF THE TREASURY,0
DEPARTMENT OF TRANSPORTATION,0
DEPARTMENTAL HISTORY,0
DEPUTY CHIEFS OF STAFF,0
DHS,0
DOE,0
EAR,0
ECONOMIC DEVELOPMENT ADMINISTRATION,0
EERE,0
EIA,0
ENERGY INFORMATION ADMINISTRATION,0
ENVIRONMENTAL PROTECTION AGENCY,0
EXECUTIVE OFFICE OF THE PRESIDENT,0
EXIM,0
EXPORT,0
FAILING TO MEET THE CHINA CHALLENGE,0
FEDERAL AVIATION ADMINISTRATION,0
FEDERAL COMMUNICATIONS,0
FEDERAL EMERGENCY MANAGEMENT AGENCY,0
FEDERAL ENERGY MANAGEMENT PROGRAM,0
FEDERAL RAILROAD POLICY,0
FEDERAL TRADE COMMISSION,0
FEDERAL TRANSIT POLICY,0
FEIS,0
FEMA,0
FEMP,0
FINANCIAL REGULATORY AGENCIES,0
FISCAL RESPONSIBILITY,0
FRA,0
GENDER POLICY COUNCIL,0
GRID DEPLOYMENT OFFICE,0
GSA,0
HIGHER EDUCATION REFORM,0
HISTORY OF MISMANAGEMENT,0
INDIAN HEALTH SERVICE,0
INTERNATIONAL AFFAIRS,0
INTERNATIONAL COMPETITIVENESS,0
INTERNATIONAL TRADE ADMINISTRATION,0
IPEF,0
IRTPA,0
LAYING THE TRADE DEFICIT PREDICATE,0
LNG,0
MARITIME POLICY,0
MEDIA AGENCIES,0
MIAO,0
MINORITY BUSINESS DEVELOPMENT AGENCY,0
NATIONAL COUNTERINTELLIGENCE AND SECURITY CENTER,0
NATIONAL ECONOMIC COUNCIL,0
NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,0
NATIONAL NUCLEAR SECURITY ADMINISTRATION,0
NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,0
NATIONAL SPACE COUNCIL,0
NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION,0
NATIONAL TELECOMMUNICATIONS AND INFORMATION SERVICE,0
NGDP,0
NHTSA,0
NIH,0
NOAA,0
OAR,0
OCSPP,0
ODNI AND CIA,0
OFCIO,0
OFFICE OF AIR AND RADIATION,0
OFFICE OF CABINET AFFAIRS,0
OFFICE OF CHEMICAL SAFETY AND POLLUTION PREVENTION,0
OFFICE OF CIVILIAN RADIOACTIVE WASTE MANAGEMENT,0
OFFICE OF CLEAN ENERGY DEMONSTRATION,0
OFFICE OF COMMUNICATIONS,0
"OFFICE OF CYBERSECURITY, ENERGY SECURITY, AND EMERGENCY RESPONSE",0
OFFICE OF ELECTRICITY,0
OFFICE OF ENERGY EFFICIENCY AND RENEWABLE ENERGY,0
OFFICE OF ENVIRONMENTAL MANAGEMENT,0
OFFICE OF FOSSIL ENERGY AND CARBON MANAGEMENT,0
OFFICE OF GLOBAL AFFAIRS,0
OFFICE OF INTELLIGENCE AND ANALYSIS,0
OFFICE OF INTELLIGENCE AND COUNTERINTELLIGENCE,0
OFFICE OF INTERGOVERNMENTAL AFFAIRS,0
OFFICE OF INTERNATIONAL AFFAIRS,0
OFFICE OF LAND AND EMERGENCY MANAGEMENT,0
OFFICE OF LEGISLATIVE AFFAIRS,0
OFFICE OF NATIONAL DRUG CONTROL POLICY,0
OFFICE OF NUCLEAR ENERGY,0
OFFICE OF OPERATIONS COORDINATION,0
OFFICE OF POLICY,0
OFFICE OF POLITICAL AFFAIRS,0
OFFICE OF PRESIDENTIAL,0
OFFICE OF PUBLIC LIAISON,0
OFFICE OF SCIENCE,0
OFFICE OF SUPPORT,0
