acronyms_mentioned,n
HHS,232
DOJ,138
DHS,134
USAID,112
USCIS,89
OCR,87
HUD,75
ICE,69
ORR,52
IDEA,38
DCL,35
OIG,31
CFO,30
FHA,30
DOE,29
EOIR,27
EEOC,26
Treasury,25
CBP,24
HEAL,24
INA,24
NIH,24
EEO,23
GAO,23
IRS,23
ED,21
EPA,20
OFCCP,20
BIE,19
CDC,18
CMS,18
PIH,18
State Department,18
FBI,14
OSERS,14
DOD,13
FDA,13
BSIA,12
ESEA,12
NAEP,12
ACA,11
FTC,10
CHIP,9
DOT,9
EMTALA,9
OGC,9
USDA,9
OMB,8
SEC,8
ANCSA,7
CRDC,7
NSC,7
SBA,7
AFFH,6
ARP,6
ERO,6
ESSER,6
FHEO,6
HECM,6
OESE,6
OIDO,6
PACE,6
PAVE,6
CRCL,5
FACE,5
NSBA,5
RFRA,5
USAGM,5
VA,5
VOA,5
DNI,4
FACA,4
FCC,4
FLRA,4
MSPB,4
NAC,4
OPM,4
OSC,4
DFC,3
DNR,3
DOL,3
DPC,3
GEWE,3
NAAQS,3
NASEM,3
NATO,3
NERC,3
OSTP,3
OVP,3
PACR,3
SAO,3
TVPRA,3
USRAP,3
USSS,3
APA,2
BBG,2
BIS,2
BLM,2
CCP,2
CFPB,2
FEC,2
FHWA,2
FIRRMA,2
GDP,2
HSI,2
KSA,2
NEC,2
OEJECR,2
PWFA,2
RFA,2
ACL,1
ADS,1
AIO,1
CSR,1
DOI,1
EIR,1
ERISA,1
Gender Policy Council,1
HMRF,1
ILAB,1
IRA,1
LPO,1
MBDA,1
OFPP,1
OHS,1
ONDCP,1
PAS,1
PLO,1
RCP,1
SBIC,1
TANF,1
USCG,1
USTR,1
WTO,1
ABA,0
ABAWD,0
ACCA,0
ACF,0
ACGME,0
ACOG,0
ACS,0
ACYF,0
ADA,0
AECA,0
AGOA,0
AIM,0
AIR,0
ALC,0
AML-CFT,0
ANILCA,0
ANSP,0
APLUS,0
ARC,0
ARPA,0
ASCR,0
ASFR,0
ASH,0
ASPR,0
ASVAB,0
ATD,0
BAB,0
BBF,0
BEA,0
BHA,0
BRD,0
BRI,0
BSIP,0
CAA,0
CAFE,0
CARB,0
CARES,0
CASAC,0
CAT,0
CBDC,0
CBO,0
CCC,0
CCHO,0
CCN,0
CCUS,0
CDBG,0
CEA,0
CEO,0
CEP,0
CEQ,0
CESER,0
CFATS,0
CFIUS,0
CFTC,0
CHCO,0
CIA,0
CIG,0
CII,0
CIR,0
CISA,0
CJNG,0
CNPP,0
CNSI,0
COPPA,0
CPATPP,0
CPB,0
CPD,0
CRA,0
CRFD,0
CROWS,0
CRP,0
CRS,0
CSP,0
CSRA,0
CSRS,0
CSUSHPINSA,0
CTEP,0
CTR,0
CWA,0
DAU,0
DCI,0
DCSA,0
DDI,0
DEC,0
DERA,0
DESAS,0
DFA,0
DIA,0
DOC,0
DSCA,0
DTC,0
EAR,0
EAS,0
EBT,0
ECA,0
ECCN,0
ECRA,0
EDA,0
EEOB,0
EERE,0
EGC,0
EHR,0
EIA,0
EIO,0
EIS,0
ELMS,0
EOP,0
EPCA,0
ESA,0
ETA,0
EXIM,0
FAA,0
FARA,0
FAS,0
FDI,0
FDNS,0
FECM,0
FEMA,0
FEMP,0
FERPA,0
FHFA,0
FINRA,0
FIORC,0
FIP,0
FISA,0
FLETC,0
FLSA,0
FMCSA,0
FOIA,0
FPISC,0
FPL,0
FPM,0
FPS,0
FRA,0
FRED,0
FSA,0
FSOC,0
FTA,0
FTCA,0
FTE,0
FUTA,0
GDO,0
GLS,0
GMD,0
GNMA,0
GPC,0
GSA,0
HAVA,0
HCTM,0
HEALS,0
HIMARS,0
HIPAA,0
HIPPA,0
HLW,0
HMRE,0
HOAM,0
HOPWA,0
HRA,0
HRIT,0
HRSA,0
HSA,0
HSC,0
HUMINT,0
IA,0
IAC,0
IARPA,0
ICAO,0
ICCIO,0
ICTS,0
IDA,0
IDR,0
IEEPA,0
IEO,0
IES,0
IGA,0
IHS,0
IIJA,0
IMF,0
IOTF,0
IRAP,0
IRIS,0
IRTPA,0
ITA,0
ITAR,0
ITS,0
JCIDS,0
JDA,0
LAV,0
LCCE,0
LCOE,0
LEP,0
LIFT,0
LIHEAP,0
LOLR,0
LPA,0
LRSO,0
MACT,0
MAHRA,0
MAP,0
MAQI,0
MARAD,0
MBS,0
MCIT,0
MEP,0
MEPS,0
MFN,0
MGMT,0
MIAO,0
MIP,0
MMIF,0
MOE,0
MSRB,0
MTW,0
NAFTA,0
NCB,0
NCD,0
NCE,0
NCES,0
NCP,0
NCSC,0
NDAA,0
NEA,0
NEPA,0
NESDIS,0
NESS,0
NFIP,0
NGDP,0
NGI,0
NHTSA,0
NIAID,0
NIC,0
NIETC,0
NIP,0
NIST,0
NLRA,0
NMFS,0
NNSA,0
NOAA,0
NOC,0
NOS,0
NPR,0
NPRA-IAP,0
NPRM,0
NRC,0
NSA,0
NSLP,0
NSPC,0
NSTC,0
NTA,0
NTIA,0
NTIS,0
NWC,0
NWF,0
NWPA,0
NWS,0
OAA,0
OAM,0
OAR,0
OASH,0
OAWP,0
OCA,0
OCC,0
OCED,0
OCFO,0
OCI,0
OCIR,0
OCRWM,0
OCS,0
OCSE,0
OCSPP,0
ODNI,0
OE,0
OECA,0
OECD,0
OFCIO,0
OFFM,0
OGA,0
OHA,0
OHHLHC,0
OIF,0
OIRA,0
OJP,0
OLA,0
OLEM,0
OLMS,0
OMS,0
OPA,0
OPE,0
OPL,0
OPLA,0
OPNAV,0
OPPM,0
OPS,0
ORCR,0
ORD,0
OSM,0
OSP,0
OSRTI,0
OSX,0
OTT,0
PACT,0
PAI,0
PBGC,0
PBRA,0
PBS,0
PCAOB,0
PCC,0
PCE,0
PDB,0
PDDNI,0
PDR,0
PEPFAR,0
PHMSA,0
PIAB,0
PLGHA,0
PMRS,0
PPBE,0
PPE,0
PPL,0
PPO,0
PPP,0
PQE,0
PRC,0
PRIA,0
PTA,0
PTE,0
QER,0
RACT,0
RAD,0
RADV,0
RAP,0
RCRA,0
REAC,0
REMS,0
RFS,0
RICO,0
RMP,0
RPS,0
RSAC,0
SAC,0
SBIR,0
SBREFA,0
SCC,0
SER,0
SES,0
SEVP,0
SLCM,0
SLCM-N,0
SMR,0
SNAP,0
SNIS,0
SNS,0
SOAR,0
SOGI,0
SPM,0
SPP,0
SPR,0
SSCI,0
STEM,0
SWCD,0
TEAM,0
TEDS,0
TFI,0
THAAD,0
TIFIA,0
TOTRESNS,0
TPA,0
TPP,0
TPS,0
TREAST,0
TSA,0
TSCA,0
TSP,0
TTC,0
TTIC,0
UAS,0
UAW,0
USCYBERCOM,0
USF,0
USGCRP,0
USH,0
USICH,0
USMC,0
USN,0
USPTO,0
USRTA,0
USSF,0
USSOCOM,0
USTDA,0
UTS,0
VAERS,0
VASRD,0
VBA,0
VEVRAA,0
VHA,0
WALCL,0
WHO,0
WIC,0
WIOA,0
WOTUS,0
WSHOMCB,0
