section,department,agency,subagency_name,subagency_acronym,acronyms_mentioned,agencies_mentioned,racialized_terms,text
TAKING THE REINS OF GOVERNMENT,NA,NA,NA,NA,NULL,NULL,"c(""woke"", ""racist"")","next presidency, America is now divided between two opposing forces: woke revolutionaries and those who believe in the ideals of the American revolution. The former believe that America is—and always has been—“systemically racist” and that it is not worth celebrating and must be fundamentally transformed, largely through a centralized administrative state. The latter believe in America’s history and heroes, its principles and promise, and in everyday Americans and the American way of life. They believe in the Constitution and republican government. Conservatives—the Americanists in this battle—must fight for the soul of America, which is very much at stake."
OFFICE OF SCIENCE AND TECHNOLOGY POLICY,EXECUTIVE OFFICE OF THE PRESIDENT,EOP,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,OSTP,OSTP,OSTP,"c(""racial"", ""equity"", ""woke"")","Finally, the next Administration will face a significant challenge in unwinding policies and procedures that are used to advance radical gender, racial, and equity initiatives under the banner of science. Similarly, the Biden Administration’s climate fanaticism will need a whole-of-government unwinding. As with other federal departments and agencies, the Biden Administration’s leveraging of the federal government’s resources to further the woke agenda should be reversed and scrubbed from all policy manuals, guidance documents, and agendas, and scientific excellence and innovation should be restored as the OSTP’s top priority."
CENTRAL AGENCIES,NA,NA,NA,NA,EEOC,NULL,"c(""discrimination"", ""civil rights"")","The Equal Employment Opportunity Commission (EEOC) has general responsibility for reviewing charges of employee discrimination against all civil rights breaches. However, it also administers a government employee section that investigates and adjudicates federal employee complaints concerning equal employment violations as with the private sector.8 This makes the agency an additional de facto factor in government personnel management."
OPM,OFFICE OF PERSONNEL MANAGEMENT,OPM,OFFICE OF PERSONNEL MANAGEMENT,OPM,PACE,NULL,discrimination,"General ability tests like the PACE have been used successfully to assess the usefulness and cost-effectiveness of broad intellectual qualities across many separate occupations. Courts have ruled that even without evidence of overt, intentional discrimination, such results might suggest discrimination. This doctrine of disparate impact could be ended legislatively or at least narrowed through the regulatory process by a future Administration. In any event, the federal government has been denied the use of a rigorous entry examination for three decades, relying instead on self-evaluations that have forced managers to resort to subterfuge such as preselecting friends or associates that they believe are competent to obtain qualified employees."
OPM,OFFICE OF PERSONNEL MANAGEMENT,OPM,OFFICE OF PERSONNEL MANAGEMENT,OPM,PACE,NULL,discrimination,"General ability tests like the PACE have been used successfully to assess the usefulness and cost-effectiveness of broad intellectual qualities across many separate occupations. Courts have ruled that even without evidence of overt, intentional discrimination, such results might suggest discrimination. This doctrine of disparate impact could be ended legislatively or at least narrowed through the regulatory process by a future Administration. In any event, the federal government has been denied the use of a rigorous entry examination for three decades, relying instead on self-evaluations that have forced managers to resort to subterfuge such as preselecting friends or associates that they believe are competent to obtain qualified employees."
OPM,OFFICE OF PERSONNEL MANAGEMENT,OPM,OFFICE OF PERSONNEL MANAGEMENT,OPM,NULL,NULL,"c(""racial"", ""discrimination"")","ered rude and unprofessional. Moreover, managers can be and often are accused of racial or sexual discrimination for a poor rating, and this discourages honesty."
OPM,OFFICE OF PERSONNEL MANAGEMENT,OPM,OFFICE OF PERSONNEL MANAGEMENT,OPM,NULL,NULL,"c(""racial"", ""discrimination"")","ered rude and unprofessional. Moreover, managers can be and often are accused of racial or sexual discrimination for a poor rating, and this discourages honesty."
DOD,DEPARTMENT OF DEFENSE,DOD,DEPARTMENT OF DEFENSE,DOD,NULL,NULL,"c(""race"", ""ethnicity"")","or suffering from gender dysphoria) should be removed, and those with gender dysphoria should be expelled from military service. Physical fitness requirements should be based on the occupational field without consideration of gender, race, ethnicity, or orientation."
DOD,DEPARTMENT OF DEFENSE,DOD,DEPARTMENT OF DEFENSE,DOD,NULL,NULL,"c(""race"", ""ethnicity"")","or suffering from gender dysphoria) should be removed, and those with gender dysphoria should be expelled from military service. Physical fitness requirements should be based on the occupational field without consideration of gender, race, ethnicity, or orientation."
DOD,DEPARTMENT OF DEFENSE,DOD,DEPARTMENT OF DEFENSE,DOD,NULL,NULL,"c(""race"", ""ethnicity"")","or suffering from gender dysphoria) should be removed, and those with gender dysphoria should be expelled from military service. Physical fitness requirements should be based on the occupational field without consideration of gender, race, ethnicity, or orientation."
